EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,
1430504,35.00,No,Travel_Rarely,809.00,Maternity,16.00,3.00,Medical,1.00,1.00,Male,84.00,4.00,1.00,Nurse,2.00,Married,2426.00,16479.00,0.00,Y,No,13.00,3.00,3.00,80.00,1.00,6.00,5.00,3.00,5.00,4.00,0.00,3.00,
1196281,29.00,No,Travel_Rarely,153.00,Maternity,15.00,2.00,Life Sciences,1.00,4.00,Female,49.00,2.00,2.00,Nurse,3.00,Single,4193.00,12682.00,0.00,Y,Yes,12.00,3.00,4.00,80.00,0.00,10.00,3.00,3.00,9.00,5.00,0.00,8.00,
1207951,31.00,No,Travel_Rarely,670.00,Maternity,26.00,1.00,Life Sciences,1.00,1.00,Male,31.00,3.00,1.00,Other,3.00,Divorced,2911.00,15170.00,1.00,Y,No,17.00,3.00,4.00,80.00,1.00,5.00,1.00,2.00,5.00,2.00,4.00,3.00,
1080660,34.00,No,Travel_Rarely,1346.00,Maternity,19.00,2.00,Medical,1.00,2.00,Male,93.00,3.00,1.00,Nurse,4.00,Divorced,2661.00,8758.00,0.00,Y,No,11.00,3.00,3.00,80.00,1.00,3.00,2.00,3.00,2.00,2.00,1.00,2.00,
1420391,28.00,Yes,Travel_Rarely,103.00,Maternity,24.00,3.00,Life Sciences,1.00,3.00,Male,50.00,2.00,1.00,Nurse,3.00,Single,2028.00,12947.00,5.00,Y,Yes,14.00,3.00,2.00,80.00,0.00,6.00,4.00,3.00,4.00,2.00,0.00,3.00,
1337254,29.00,No,Travel_Rarely,1389.00,Maternity,21.00,4.00,Life Sciences,1.00,2.00,Female,51.00,4.00,3.00,Therapist,1.00,Divorced,9980.00,10195.00,1.00,Y,No,11.00,3.00,3.00,80.00,1.00,10.00,1.00,3.00,10.00,9.00,8.00,8.00,
1421335,32.00,No,Travel_Rarely,334.00,Maternity,5.00,2.00,Life Sciences,1.00,1.00,Male,80.00,4.00,1.00,Other,2.00,Divorced,3298.00,15053.00,0.00,Y,Yes,12.00,3.00,4.00,80.00,2.00,7.00,5.00,2.00,6.00,2.00,0.00,5.00,
1262683,22.00,No,Non-Travel,1123.00,Maternity,16.00,2.00,Medical,1.00,4.00,Male,96.00,4.00,1.00,Nurse,4.00,Divorced,2935.00,7324.00,1.00,Y,Yes,13.00,3.00,2.00,80.00,2.00,1.00,2.00,2.00,1.00,0.00,0.00,0.00,
1599218,53.00,No,Travel_Rarely,1219.00,Cardiology,2.00,4.00,Life Sciences,1.00,1.00,Female,78.00,2.00,4.00,Administrative,4.00,Married,15427.00,22021.00,2.00,Y,No,16.00,3.00,3.00,80.00,0.00,31.00,3.00,3.00,25.00,8.00,3.00,7.00,
1634788,38.00,No,Travel_Rarely,371.00,Maternity,2.00,3.00,Life Sciences,1.00,4.00,Male,45.00,3.00,1.00,Other,4.00,Single,3944.00,4306.00,5.00,Y,Yes,11.00,3.00,3.00,80.00,0.00,6.00,3.00,3.00,3.00,2.00,1.00,2.00,
1334559,24.00,No,Non-Travel,673.00,Maternity,11.00,2.00,Other,1.00,1.00,Female,96.00,4.00,2.00,Therapist,3.00,Divorced,4011.00,8232.00,0.00,Y,No,18.00,3.00,4.00,80.00,1.00,5.00,5.00,2.00,4.00,2.00,1.00,3.00,
1402945,36.00,No,Travel_Rarely,1218.00,Cardiology,9.00,4.00,Life Sciences,1.00,3.00,Male,82.00,2.00,1.00,Other,1.00,Single,3407.00,6986.00,7.00,Y,No,23.00,4.00,2.00,80.00,0.00,10.00,4.00,3.00,5.00,3.00,0.00,3.00,
1705718,34.00,No,Travel_Rarely,419.00,Neurology,7.00,4.00,Life Sciences,1.00,1.00,Female,53.00,3.00,3.00,Other,2.00,Single,11994.00,21293.00,0.00,Y,No,11.00,3.00,3.00,80.00,0.00,13.00,4.00,3.00,12.00,6.00,2.00,11.00,
1880078,21.00,No,Travel_Rarely,391.00,Maternity,15.00,2.00,Life Sciences,1.00,3.00,Male,96.00,3.00,1.00,Other,4.00,Single,1232.00,19281.00,1.00,Y,No,14.00,3.00,4.00,80.00,0.00,0.00,6.00,3.00,0.00,0.00,0.00,0.00,
1801346,34.00,No,Travel_Rarely,699.00,Maternity,6.00,1.00,Medical,1.00,2.00,Male,83.00,3.00,1.00,Other,1.00,Single,2960.00,17102.00,2.00,Y,No,11.00,3.00,3.00,80.00,0.00,8.00,2.00,3.00,4.00,2.00,1.00,3.00,
1142160,53.00,No,Travel_Rarely,1282.00,Neurology,5.00,3.00,Other,1.00,3.00,Female,58.00,3.00,5.00,Other,3.00,Divorced,19094.00,10735.00,4.00,Y,No,11.00,3.00,4.00,80.00,1.00,26.00,3.00,2.00,14.00,13.00,4.00,8.00,
1142062,32.00,Yes,Travel_Frequently,1125.00,Maternity,16.00,1.00,Life Sciences,1.00,2.00,Female,72.00,1.00,1.00,Other,1.00,Single,3919.00,4681.00,1.00,Y,Yes,22.00,4.00,2.00,80.00,0.00,10.00,5.00,3.00,10.00,2.00,6.00,7.00,
1789756,42.00,No,Travel_Rarely,691.00,Cardiology,8.00,4.00,Marketing,1.00,3.00,Male,48.00,3.00,2.00,Nurse,2.00,Married,6825.00,21173.00,0.00,Y,No,11.00,3.00,4.00,80.00,1.00,10.00,2.00,3.00,9.00,7.00,4.00,2.00,
1126009,44.00,No,Travel_Rarely,477.00,Maternity,7.00,4.00,Medical,1.00,1.00,Female,42.00,2.00,3.00,Nurse,4.00,Married,10248.00,2094.00,3.00,Y,No,14.00,3.00,4.00,80.00,1.00,24.00,4.00,3.00,22.00,6.00,5.00,17.00,
1552176,46.00,No,Travel_Rarely,705.00,Cardiology,2.00,4.00,Marketing,1.00,2.00,Female,83.00,3.00,5.00,Administrative,1.00,Single,18947.00,22822.00,3.00,Y,No,12.00,3.00,4.00,80.00,0.00,22.00,2.00,2.00,2.00,2.00,2.00,1.00,
1118605,33.00,No,Travel_Rarely,924.00,Maternity,2.00,3.00,Medical,1.00,3.00,Male,78.00,3.00,1.00,Nurse,4.00,Single,2496.00,6670.00,4.00,Y,No,11.00,3.00,4.00,80.00,0.00,7.00,3.00,3.00,1.00,1.00,0.00,0.00,
1397325,44.00,No,Travel_Rarely,1459.00,Maternity,10.00,4.00,Other,1.00,4.00,Male,41.00,3.00,2.00,Nurse,4.00,Married,6465.00,19121.00,2.00,Y,Yes,13.00,3.00,4.00,80.00,0.00,9.00,5.00,4.00,4.00,2.00,1.00,3.00,
1874834,30.00,No,Travel_Rarely,125.00,Maternity,9.00,2.00,Medical,1.00,4.00,Male,83.00,2.00,1.00,Nurse,3.00,Single,2206.00,16117.00,1.00,Y,No,13.00,3.00,1.00,80.00,0.00,10.00,5.00,3.00,10.00,0.00,1.00,8.00,
1275746,39.00,No,Travel_Rarely,895.00,Cardiology,5.00,3.00,Technical Degree,1.00,4.00,Male,56.00,3.00,2.00,Other,4.00,Married,2086.00,3335.00,3.00,Y,No,14.00,3.00,3.00,80.00,1.00,19.00,6.00,4.00,1.00,0.00,0.00,0.00,
1884939,24.00,Yes,Travel_Rarely,813.00,Maternity,1.00,3.00,Medical,1.00,2.00,Male,61.00,3.00,1.00,Other,4.00,Married,2293.00,3020.00,2.00,Y,Yes,16.00,3.00,1.00,80.00,1.00,6.00,2.00,2.00,2.00,0.00,2.00,0.00,
1650304,43.00,No,Travel_Rarely,1273.00,Maternity,2.00,2.00,Medical,1.00,4.00,Female,72.00,4.00,1.00,Other,3.00,Divorced,2645.00,21923.00,1.00,Y,No,12.00,3.00,4.00,80.00,2.00,6.00,3.00,2.00,5.00,3.00,1.00,4.00,
1058169,50.00,Yes,Travel_Rarely,869.00,Cardiology,3.00,2.00,Marketing,1.00,1.00,Male,86.00,2.00,1.00,Other,3.00,Married,2683.00,3810.00,1.00,Y,Yes,14.00,3.00,3.00,80.00,0.00,3.00,2.00,3.00,3.00,2.00,0.00,2.00,
1319183,35.00,No,Travel_Rarely,890.00,Cardiology,2.00,3.00,Marketing,1.00,4.00,Female,97.00,3.00,1.00,Other,4.00,Married,2014.00,9687.00,1.00,Y,No,13.00,3.00,1.00,80.00,0.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,
1872551,36.00,No,Travel_Rarely,852.00,Maternity,5.00,4.00,Life Sciences,1.00,2.00,Female,82.00,2.00,1.00,Other,1.00,Married,3419.00,13072.00,9.00,Y,Yes,14.00,3.00,4.00,80.00,1.00,6.00,3.00,4.00,1.00,1.00,0.00,0.00,
1060693,33.00,No,Travel_Frequently,1141.00,Cardiology,1.00,3.00,Life Sciences,1.00,3.00,Female,42.00,4.00,2.00,Nurse,1.00,Married,5376.00,3193.00,2.00,Y,No,19.00,3.00,1.00,80.00,2.00,10.00,3.00,3.00,5.00,3.00,1.00,3.00,
1110390,35.00,No,Travel_Rarely,464.00,Maternity,4.00,2.00,Other,1.00,3.00,Male,75.00,3.00,1.00,Nurse,4.00,Divorced,1951.00,10910.00,1.00,Y,No,12.00,3.00,3.00,80.00,1.00,1.00,3.00,3.00,1.00,0.00,0.00,0.00,
1448895,27.00,No,Travel_Rarely,1240.00,Maternity,2.00,4.00,Life Sciences,1.00,4.00,Female,33.00,3.00,1.00,Nurse,1.00,Divorced,2341.00,19715.00,1.00,Y,No,13.00,3.00,4.00,80.00,1.00,1.00,6.00,3.00,1.00,0.00,0.00,0.00,
1547220,26.00,Yes,Travel_Rarely,1357.00,Maternity,25.00,3.00,Life Sciences,1.00,1.00,Male,48.00,1.00,1.00,Nurse,3.00,Single,2293.00,10558.00,1.00,Y,No,12.00,3.00,3.00,80.00,0.00,1.00,2.00,2.00,1.00,0.00,0.00,1.00,
1680993,27.00,No,Travel_Frequently,994.00,Cardiology,8.00,3.00,Life Sciences,1.00,4.00,Male,37.00,3.00,3.00,Nurse,3.00,Single,8726.00,2975.00,1.00,Y,No,15.00,3.00,4.00,80.00,0.00,9.00,0.00,3.00,9.00,8.00,1.00,7.00,
1100187,30.00,No,Travel_Frequently,721.00,Maternity,1.00,2.00,Medical,1.00,3.00,Female,58.00,3.00,2.00,Nurse,4.00,Single,4011.00,10781.00,1.00,Y,No,23.00,4.00,4.00,80.00,0.00,12.00,2.00,3.00,12.00,8.00,3.00,7.00,
1881631,41.00,No,Travel_Rarely,1360.00,Neurology,12.00,3.00,Technical Degree,1.00,2.00,Female,49.00,3.00,5.00,Other,3.00,Married,19545.00,16280.00,1.00,Y,No,12.00,3.00,4.00,80.00,0.00,23.00,0.00,3.00,22.00,15.00,15.00,8.00,
1622068,34.00,No,Non-Travel,1065.00,Cardiology,23.00,4.00,Marketing,1.00,2.00,Male,72.00,3.00,2.00,Nurse,3.00,Single,4568.00,10034.00,0.00,Y,No,20.00,4.00,3.00,80.00,0.00,10.00,2.00,3.00,9.00,5.00,8.00,7.00,
1336903,37.00,No,Travel_Rarely,408.00,Maternity,19.00,2.00,Life Sciences,1.00,2.00,Male,73.00,3.00,1.00,Other,2.00,Married,3022.00,10227.00,4.00,Y,No,21.00,4.00,1.00,80.00,0.00,8.00,1.00,3.00,1.00,0.00,0.00,0.00,
1126243,46.00,No,Travel_Frequently,1211.00,Cardiology,5.00,4.00,Marketing,1.00,1.00,Male,98.00,3.00,2.00,Nurse,4.00,Single,5772.00,20445.00,4.00,Y,Yes,21.00,4.00,3.00,80.00,0.00,14.00,4.00,3.00,9.00,6.00,0.00,8.00,
1053707,35.00,No,Travel_Rarely,1229.00,Maternity,8.00,1.00,Life Sciences,1.00,4.00,Male,36.00,4.00,1.00,Nurse,4.00,Married,2269.00,4892.00,1.00,Y,No,19.00,3.00,4.00,80.00,0.00,1.00,2.00,3.00,1.00,0.00,0.00,1.00,
1708688,48.00,Yes,Travel_Rarely,626.00,Maternity,1.00,2.00,Life Sciences,1.00,1.00,Male,98.00,2.00,3.00,Nurse,3.00,Single,5381.00,19294.00,9.00,Y,Yes,13.00,3.00,4.00,80.00,0.00,23.00,2.00,3.00,1.00,0.00,0.00,0.00,
1208582,28.00,Yes,Travel_Rarely,1434.00,Maternity,5.00,4.00,Technical Degree,1.00,3.00,Male,50.00,3.00,1.00,Nurse,3.00,Single,3441.00,11179.00,1.00,Y,Yes,13.00,3.00,3.00,80.00,0.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,
1127416,44.00,No,Travel_Rarely,1488.00,Cardiology,1.00,5.00,Marketing,1.00,2.00,Female,75.00,3.00,2.00,Nurse,1.00,Divorced,5454.00,4009.00,5.00,Y,Yes,21.00,4.00,3.00,80.00,1.00,9.00,2.00,2.00,4.00,3.00,1.00,3.00,
1710090,35.00,No,Non-Travel,1097.00,Maternity,11.00,2.00,Medical,1.00,3.00,Male,79.00,2.00,3.00,Nurse,1.00,Married,9884.00,8302.00,2.00,Y,Yes,13.00,3.00,3.00,80.00,1.00,10.00,3.00,3.00,4.00,0.00,2.00,3.00,
1146606,26.00,Yes,Travel_Rarely,1443.00,Cardiology,23.00,3.00,Marketing,1.00,3.00,Female,47.00,2.00,2.00,Nurse,4.00,Married,4157.00,21436.00,7.00,Y,Yes,19.00,3.00,3.00,80.00,1.00,5.00,2.00,2.00,2.00,2.00,0.00,0.00,
1674685,33.00,No,Travel_Frequently,515.00,Neurology,1.00,2.00,Life Sciences,1.00,1.00,Female,98.00,3.00,3.00,Other,4.00,Single,13458.00,15146.00,1.00,Y,Yes,12.00,3.00,3.00,80.00,0.00,15.00,1.00,3.00,15.00,14.00,8.00,12.00,
1477077,35.00,No,Travel_Frequently,853.00,Cardiology,18.00,5.00,Life Sciences,1.00,2.00,Male,71.00,3.00,3.00,Nurse,1.00,Married,9069.00,11031.00,1.00,Y,No,22.00,4.00,4.00,80.00,1.00,9.00,3.00,2.00,9.00,8.00,1.00,8.00,
1269275,35.00,No,Travel_Rarely,1142.00,Maternity,23.00,4.00,Medical,1.00,3.00,Female,30.00,3.00,1.00,Nurse,1.00,Married,4014.00,16002.00,3.00,Y,Yes,15.00,3.00,3.00,80.00,1.00,4.00,3.00,3.00,2.00,2.00,2.00,2.00,
1620694,31.00,No,Travel_Rarely,655.00,Maternity,7.00,4.00,Life Sciences,1.00,4.00,Male,48.00,3.00,2.00,Nurse,4.00,Divorced,5915.00,9528.00,3.00,Y,No,22.00,4.00,4.00,80.00,1.00,10.00,3.00,2.00,7.00,7.00,1.00,7.00,
1618486,37.00,No,Travel_Rarely,1115.00,Neurology,1.00,4.00,Life Sciences,1.00,1.00,Male,51.00,2.00,2.00,Therapist,3.00,Divorced,5993.00,2689.00,1.00,Y,No,18.00,3.00,3.00,80.00,1.00,7.00,2.00,4.00,7.00,5.00,0.00,7.00,
1208054,32.00,No,Travel_Rarely,427.00,Neurology,1.00,3.00,Medical,1.00,1.00,Male,33.00,3.00,2.00,Therapist,4.00,Married,6162.00,10877.00,1.00,Y,Yes,22.00,4.00,2.00,80.00,1.00,9.00,3.00,3.00,9.00,8.00,7.00,8.00,
1545352,38.00,No,Travel_Frequently,653.00,Maternity,29.00,5.00,Life Sciences,1.00,4.00,Female,50.00,3.00,2.00,Nurse,4.00,Single,2406.00,5456.00,1.00,Y,No,11.00,3.00,4.00,80.00,0.00,10.00,2.00,3.00,10.00,3.00,9.00,9.00,
1665908,50.00,No,Travel_Rarely,989.00,Neurology,7.00,2.00,Medical,1.00,2.00,Female,43.00,2.00,5.00,Other,3.00,Divorced,18740.00,16701.00,5.00,Y,Yes,12.00,3.00,4.00,80.00,1.00,29.00,2.00,2.00,27.00,3.00,13.00,8.00,
1312106,59.00,No,Travel_Rarely,1435.00,Cardiology,25.00,3.00,Life Sciences,1.00,1.00,Female,99.00,3.00,3.00,Nurse,1.00,Single,7637.00,2354.00,7.00,Y,No,11.00,3.00,4.00,80.00,0.00,28.00,3.00,2.00,21.00,16.00,7.00,9.00,
1391215,36.00,No,Travel_Rarely,1223.00,Maternity,8.00,3.00,Technical Degree,1.00,3.00,Female,59.00,3.00,3.00,Nurse,3.00,Divorced,10096.00,8202.00,1.00,Y,No,13.00,3.00,2.00,80.00,3.00,17.00,2.00,3.00,17.00,14.00,12.00,8.00,
1677994,55.00,No,Travel_Rarely,836.00,Neurology,8.00,3.00,Medical,1.00,4.00,Female,33.00,3.00,4.00,Other,3.00,Divorced,14756.00,19730.00,2.00,Y,Yes,14.00,3.00,3.00,80.00,3.00,21.00,2.00,3.00,5.00,0.00,0.00,2.00,
1216003,36.00,No,Travel_Frequently,1195.00,Maternity,11.00,3.00,Life Sciences,1.00,2.00,Male,95.00,2.00,2.00,Therapist,2.00,Single,6499.00,22656.00,1.00,Y,No,13.00,3.00,3.00,80.00,0.00,6.00,3.00,3.00,6.00,5.00,0.00,3.00,
1503437,45.00,No,Travel_Rarely,1339.00,Maternity,7.00,3.00,Life Sciences,1.00,2.00,Male,59.00,3.00,3.00,Other,1.00,Divorced,9724.00,18787.00,2.00,Y,No,17.00,3.00,3.00,80.00,1.00,25.00,2.00,3.00,1.00,0.00,0.00,0.00,
1381585,35.00,No,Travel_Frequently,664.00,Maternity,1.00,3.00,Medical,1.00,2.00,Male,79.00,3.00,1.00,Other,1.00,Married,2194.00,5868.00,4.00,Y,No,13.00,3.00,4.00,80.00,1.00,5.00,2.00,2.00,3.00,2.00,1.00,2.00,
1312369,36.00,Yes,Travel_Rarely,318.00,Maternity,9.00,3.00,Medical,1.00,4.00,Male,79.00,2.00,1.00,Other,3.00,Married,3388.00,21777.00,0.00,Y,Yes,17.00,3.00,1.00,80.00,1.00,2.00,0.00,2.00,1.00,0.00,0.00,0.00,
1576355,59.00,No,Travel_Frequently,1225.00,Cardiology,1.00,1.00,Life Sciences,1.00,1.00,Female,57.00,2.00,2.00,Nurse,3.00,Single,5473.00,24668.00,7.00,Y,No,11.00,3.00,4.00,80.00,0.00,20.00,2.00,2.00,4.00,3.00,1.00,3.00,
1659485,29.00,No,Travel_Rarely,1328.00,Maternity,2.00,3.00,Life Sciences,1.00,3.00,Male,76.00,3.00,1.00,Other,2.00,Married,2703.00,4956.00,0.00,Y,No,23.00,4.00,4.00,80.00,1.00,6.00,3.00,3.00,5.00,4.00,0.00,4.00,
1530200,31.00,No,Travel_Rarely,1082.00,Maternity,1.00,4.00,Medical,1.00,3.00,Male,87.00,3.00,1.00,Other,2.00,Single,2501.00,18775.00,1.00,Y,No,17.00,3.00,2.00,80.00,0.00,1.00,4.00,3.00,1.00,1.00,1.00,0.00,
1773482,32.00,No,Travel_Rarely,548.00,Maternity,1.00,3.00,Life Sciences,1.00,2.00,Male,66.00,3.00,2.00,Other,2.00,Married,6220.00,7346.00,1.00,Y,No,17.00,3.00,2.00,80.00,2.00,10.00,3.00,3.00,10.00,4.00,0.00,9.00,
1188108,36.00,No,Travel_Rarely,132.00,Maternity,6.00,3.00,Life Sciences,1.00,2.00,Female,55.00,4.00,1.00,Nurse,4.00,Married,3038.00,22002.00,3.00,Y,No,12.00,3.00,2.00,80.00,0.00,5.00,3.00,3.00,1.00,0.00,0.00,0.00,
1471418,31.00,No,Travel_Rarely,746.00,Cardiology,8.00,4.00,Life Sciences,1.00,3.00,Female,61.00,3.00,2.00,Therapist,4.00,Single,4424.00,20682.00,1.00,Y,No,23.00,4.00,4.00,80.00,0.00,11.00,2.00,3.00,11.00,7.00,1.00,8.00,
1081842,35.00,No,Travel_Rarely,776.00,Cardiology,1.00,4.00,Marketing,1.00,3.00,Male,32.00,2.00,2.00,Nurse,1.00,Single,4312.00,23016.00,0.00,Y,No,14.00,3.00,2.00,80.00,0.00,16.00,2.00,3.00,15.00,13.00,2.00,8.00,
1146021,45.00,No,Travel_Rarely,193.00,Neurology,6.00,4.00,Other,1.00,4.00,Male,52.00,3.00,3.00,Other,1.00,Married,13245.00,15067.00,4.00,Y,Yes,14.00,3.00,2.00,80.00,0.00,17.00,3.00,4.00,0.00,0.00,0.00,0.00,
1880248,37.00,No,Travel_Rarely,397.00,Neurology,7.00,4.00,Medical,1.00,1.00,Male,30.00,3.00,3.00,Other,3.00,Single,13664.00,25258.00,4.00,Y,No,13.00,3.00,1.00,80.00,0.00,16.00,3.00,4.00,5.00,2.00,0.00,2.00,
1267807,46.00,No,Travel_Rarely,945.00,Neurology,5.00,2.00,Medical,1.00,2.00,Male,80.00,3.00,2.00,Other,2.00,Divorced,5021.00,10425.00,8.00,Y,Yes,22.00,4.00,4.00,80.00,1.00,16.00,2.00,3.00,4.00,2.00,0.00,2.00,
1247348,30.00,No,Travel_Rarely,852.00,Maternity,1.00,1.00,Life Sciences,1.00,4.00,Male,55.00,2.00,2.00,Nurse,4.00,Married,5126.00,15998.00,1.00,Y,Yes,12.00,3.00,3.00,80.00,2.00,10.00,1.00,2.00,10.00,8.00,3.00,0.00,
1886039,35.00,No,Travel_Rarely,1214.00,Maternity,1.00,3.00,Medical,1.00,2.00,Male,30.00,2.00,1.00,Other,3.00,Single,2859.00,26278.00,1.00,Y,No,18.00,3.00,1.00,80.00,0.00,6.00,3.00,3.00,6.00,4.00,0.00,4.00,
1134060,55.00,No,Travel_Rarely,111.00,Cardiology,1.00,2.00,Life Sciences,1.00,1.00,Male,70.00,3.00,3.00,Nurse,4.00,Married,10239.00,18092.00,3.00,Y,No,14.00,3.00,4.00,80.00,1.00,24.00,4.00,3.00,1.00,0.00,1.00,0.00,
1403326,38.00,No,Non-Travel,573.00,Maternity,6.00,3.00,Medical,1.00,2.00,Female,79.00,1.00,2.00,Other,4.00,Divorced,5329.00,15717.00,7.00,Y,Yes,12.00,3.00,4.00,80.00,3.00,17.00,3.00,3.00,13.00,11.00,1.00,9.00,
1689558,34.00,No,Travel_Rarely,1153.00,Neurology,1.00,2.00,Medical,1.00,1.00,Male,94.00,3.00,2.00,Therapist,2.00,Married,4325.00,17736.00,1.00,Y,No,15.00,3.00,3.00,80.00,0.00,5.00,2.00,3.00,5.00,2.00,1.00,3.00,
1122798,56.00,No,Travel_Rarely,1400.00,Neurology,7.00,3.00,Life Sciences,1.00,4.00,Male,49.00,1.00,3.00,Therapist,4.00,Single,7260.00,21698.00,4.00,Y,No,11.00,3.00,1.00,80.00,0.00,37.00,3.00,2.00,6.00,4.00,0.00,2.00,
1477348,23.00,No,Travel_Rarely,541.00,Cardiology,2.00,1.00,Technical Degree,1.00,3.00,Male,62.00,3.00,1.00,Other,1.00,Divorced,2322.00,9518.00,3.00,Y,No,13.00,3.00,3.00,80.00,1.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,
1061371,51.00,No,Travel_Rarely,432.00,Maternity,9.00,4.00,Life Sciences,1.00,4.00,Male,96.00,3.00,1.00,Nurse,4.00,Married,2075.00,18725.00,3.00,Y,No,23.00,4.00,2.00,80.00,2.00,10.00,4.00,3.00,4.00,2.00,0.00,3.00,
1535342,30.00,No,Travel_Rarely,288.00,Maternity,2.00,3.00,Life Sciences,1.00,3.00,Male,99.00,2.00,2.00,Nurse,4.00,Married,4152.00,15830.00,1.00,Y,No,19.00,3.00,1.00,80.00,3.00,11.00,3.00,3.00,11.00,10.00,10.00,8.00,
1386780,46.00,No,Travel_Rarely,669.00,Cardiology,9.00,2.00,Medical,1.00,3.00,Male,64.00,2.00,3.00,Nurse,4.00,Single,9619.00,13596.00,1.00,Y,No,16.00,3.00,4.00,80.00,0.00,9.00,3.00,3.00,9.00,8.00,4.00,7.00,
1254775,40.00,No,Travel_Frequently,530.00,Maternity,1.00,4.00,Life Sciences,1.00,3.00,Male,78.00,2.00,4.00,Nurse,2.00,Married,13503.00,14115.00,1.00,Y,No,22.00,4.00,4.00,80.00,1.00,22.00,3.00,2.00,22.00,3.00,11.00,11.00,
1818921,51.00,No,Travel_Rarely,632.00,Cardiology,21.00,4.00,Marketing,1.00,3.00,Male,71.00,3.00,2.00,Nurse,4.00,Single,5441.00,8423.00,0.00,Y,Yes,22.00,4.00,4.00,80.00,0.00,11.00,2.00,1.00,10.00,7.00,1.00,0.00,
